ALABAMA	Birmingham	Very affordable, no traffic, easy parking, lots of green space, great food with some nationally-acclaimed restaurants (and can afford to go on resident's salary). Hiking within 15min of the hospital and tons more options within an hour's drive. Small town friendliness with mid-sized city amenities. < Many larger cities within easy driving distance (Atlanta, New Orleans, Nashville) and beaches in S Alabama/FL panhandle	Church and college football can play an oversized role in city life. Still can feel very segregated. Local and state politics filled with corruption. High monthly water bills due to aforementioned corruption. The worest roads of any city, seriously had a tire bust from going 40 and hitting a pot hole.	They're trying to improve it, but not great. Definitely need a car+2	Hot and humid summers. Mild winters. Snow is rare. Tornadoes are a thing.	Most people are married by 25 and arent interested in dating anyone more distant than a fourth cousin. Pretty religious down here. << this is absurd. people in birmingham aren't incestuous. It feels like there's someone here with a thing against bham	Not great; improving though+1	meh<< Very diverse in the city, less so in rural areas <<sure its better than other parts of alabama...but no way in hell would i call it "very diverse" << do you actually live in Birmingham proper??	its weird because there are less people in birmingham I feel unsafe around compared to other cities...but for the people feel unsafe around..I feel 100x less safe around them compared to your typical urban bozo. These people are legit crazy. Will follow you relentlessly or point a gun/knife at you. Fucking terrifying. Not just birmingham but Alabama as a whole << I have lived here 20 years, never had a single person follow me with a gun/knife, however Birmingham is consistently listed as one of the most murderous cities in the country
OHIO	Cleveland	Rent can be very cheap if you're willing to look just beyond the campus. Lots of hip neighborhoods (downtown, the Flats, Ohio City, Tremont, Lakewood) and nice suburbs as well if you're willing to live further and drive. There is a large African American and Jewish community. Very diverse compared to most Midwest cities (except Chicago). Good food scene, lots of breweries. Underrated night life. Great city to be if you're into the surrounding nature (Cleveland MetroParks, Cuyahoga Valley National Park, Towpath trail etc.). If you need proximity to water Lake Erie is right there and the Cuyahoga river runs through the city and has scenic walkways/parks by it. Great for sports fans too. There's traffic during rush hour but a joke compared to other major cities.	white bread city (? not sure what this means lol)     Obviously if you're comparing to places like Boston, Chicago, NYC will pale in comparison in terms of overall appeal. Probably lacking in good asian food compared to the coasts	Reliable/Fair, but questionable safety. Everyone in residency drives and if IMG, they lease a vehicle.	All 4 seasons. Standard midwest weather with windchill originating from lake effect. Not as cold as Minnesota. Dress appropriately and drive slow when actively snowing and you will be fine.	Mainly other residents at CCF, UH, Metro etc that are here temporarily and other health professionals as Case undergrad and Cleveland State are in the area. Otherwise, prospects aren't great, especially if you are minority.	Accepting, know of CWRU and CCF residents who are open about their gender/sexuality and there's no concern. The surrounding city population varies.	African Americans are present in nice areas which is refreshing as a black male having lived in Milwaukee and Detroit where segregation is an issue. The universities bring in a lot of diversity. Surrounding suburbs are not at all diverse, but the distant suburbs are.	Cleveland doesn't have the best repulation nationally but I think that's overblown. Obviously there are parts that are worse than others (stay far away from East Cleveland), but there are many pockets of nice areas where young professionals live that have nice restaurants/breweries/parks etc.
OHIO	Columbus	Surprisingly large city with decent food and art scenes. Rent is very affordable. +1 // Good jogging and biking trails and greenery especially at metro parks. fairly mild winters especially the past few years	Four seasons can sometimes mean worst of everything: cold winters, hot and humid summers. Feels like there aren't as many young people as other major cities?	COTA bus lines are available and pretty cheap but not always timely, although they're getting better. there's an app that lets you see where buses are in real time. driving is most convenient tho	has all 4 seasons. usually cloudy/overcast. thunderstorms in fall season. hot in the summer	OSU is huge so there are a lot of students/new grads, though it is still Midwest and people tend to pair up early	Franklin county (campus area) and surrounding counties are more friendly //how is dating???	One of the largest public universities in the US. diversity could be better, though OSU itsef has lots of international students	
OHIO	Cuyahoga Falls	Smaller town in a area of several towns which all tend to blend together due to close proximity(Akron, Hudson, Stow, Fairlawn, Montrose to name a few) . Cheap housing and cost of living, Very family centered area. Nice row of restaurants and bars called Front Street in "The falls" itself. Very safe, not much crime. There is a local gym called the natatorium that is very well maintained. The area has a very close proximity to all the previously mentioned cities like Akron Fairlawn Stow all within 15 minutes. Good public and private schools.   Cuyahoga Valley National Park is here, it has plenty of trails to hike, though not many within a 30 min drive would rank "expert" on the all trails app. Some trails are busier than others, but not overly crowded where you are playing a constant game of leap frog. Cuyahoga Falls is home to Rex's Erection aka Humbold's Tower. It is even a local snapchat filter.  Akron is the Home of Swensons and the Galley Boy Burger.	Houses for sale and rent are older, only a handful of apartment complexes in the falls itself. Has decent food variety for the population of the town, but when you want something fancy, you will likely be headed to Fairlawn, Cleveland, Akron, Hudson or Canton.     Multiple speed trap streets.    Cuyahoga Falls is more housing than anything, and if you want to do any major brick and morter retail shopping you will likely need to drive 5-10 minutes. It has the problem of not that much going on within itself, but it is in a great location to take advantage of several great surrounding cities.	Uber and Lyft are there but not wise to be dependent upon in more remote locations.	Not recommended for those with seasonal depression due to it can be frequently cloudy.    Experiences all 4 seasons    Rainfall is not egregarious    Cuyahoga Falls is far enough away from the Lake to avoid the Lake effect snowfall, the city has great snowplowing, but be advised they use salt not sand    Temperatures can range from -4 to 102. Most of the year is between 80 and 60. Lots of pretty trees to watch during the fall.	It is there, but your best luck will be through the apps due to workload. Plenty of younger people in the healthcare industry working at CCF, Akron City, Akron Childrens, Akron General, UH, Mercy, Aultman and several nearby colleges such as Case Western, Universtiy of Akron, Kent State, Walsh University.	Have not seen any targeting or discrimination. That said, it is a conservative midwest town. YMMV	Predominately Caucasian in Cuyahoga Falls itself. The surrounding cities statistically have more diversity including African American and Nepali, but are still predominately Caucasian. That being said, it seemed to blend together well.	
OHIO	Toledo	cheap, no traffic, really nice zoo	Cold winters, not much to do once it gets cold out (which honestly feels like most of the year). Not too many new restraunts to try once you've lived here for a few months. Have to drive to go anywhere. Not many sunny days but that is most of Ohio.	Basically, no. Will need a car for sure.		You will need to likely set your tinder radius to reach ann arbor and detroit <hahhahahahahaa...tru though	???	Pretty good diversity	
OREGON	Portland	Amazing hikes, great food scene, great for skiing/snowboarding. Has some sports teams (Trailblazers, Timbers). Very LGBT+ friendly. If you love the outdoors, it is absolutely beautiful here and hard to beat. About 1-1.5 hrs from mountain in one direction, coast in the other.	If you don't drink IPAs, ride a unicyle, and bring up fermentation at least once a week, you will be an OUTCAST. Many outdorsy people (if that is not your thing), not the most racially diverse city<<first sentence obs sarcasm << How is the junkie/hobo problem? Last time I was here before the pandemic felt very sketchy downtown at night. Also it seems like there is decent asian food in the burbs (beaverton etc?)	Pretty good for a US city, but it is still more convnient to have a car than not. Buses and light rail aren't that frequent. max $5 day for unlimited rides	Rains frequently but it isn't pouring rain and it usually stops. GRay winters for long periods of time, but summers are amazing.	Disproportionately more men than women	very liberal- one of the gayest city in America (very gay)		
PENNSYLVANIA	Abington	Less dirty than philadelphia. Generally nice suburb area but not too far from center city. One of the best places to love in philly area							
PENNSYLVANIA	Allentown					There used to be this Malt shop near the Allentown Rose Gardens...It was like an irl Tinder. People would go there, start talking to someone, go home and fuck like rabbits. Not sure if there's a more modern version of it these days.			
PENNSYLVANIA	Danville	Very low cost of living, Geisinger maintains nice trails for hiking/biking nearby. Not far (~1hr ) from the Poconos for skiing/snowboarding.	Food options are not great, but there have been some some cute restaurants popping up recently. Not much to do. Super cold winters	No	Typical central PA - hot summers (90F+), cold winters (20-30F)	Lol	lol		
PENNSYLVANIA	Erie	Cheap COL. Traffic is a non issue- you can get just about anywhere in 20 minutes. Peninsula/lake are very pretty- Presque Isle is pretty much the gem of the city.	Winters here are brutal. Large enough to be considered a city but we are missing a lot of things- there are things youd need to drive into Buff/Pitt/Cleveland in order to do or see. Airport is super tiny and hard to get flights in and out of. Limited things to do. We definitely don't have a night life scene. Food is meh- a lot of chain restaurants and not a lot of options.	need a car for sure. also get snow tires	brutal winters. summers are nice.	completely hopeless.	depends on the area you are in	Pretty diverse I think but it is also pretty segregated	Hey everyone, Erie native here. Millcreek lost its IM residency just a heads up. If anyone has specific questions about Erie for any other reason feel free to shoot.
PENNSYLVANIA	Hershey	Cheap COL (apartments for ~1000/month), minimal traffic around the med center. Can drive out to harrisburg in 15-20 minutes for activities in the city/more diverse restaurants. Lots of green space, good hiking within 30min-1hr. Just got an REI 25 minutes away, there's a Trader Joe's coming to 25 min away soon. // Trader Joes is already here, just have to drive to Camphill. Also super cheap COL and can live on the on campus apartment, two bedroom apt is ~1200 so I pay 600 with a roomate	Not a very diverse population nearby. If you live near downtown Hershey, there's some hersheypark/concert traffic on weekends. The food scene in Hershey is just okay, so hard to find good Asian food. // The food scene sucks locally. I had to travel to Harrisburg or Lancaster for anything decently ethnic. There are some fancier restaurants on the short main street, but they are expensive. In Harrisburg check out Broad Street Market, kind of like a mini-Reading terminal with tons of options. The Amish pretzels are very addicting be warned (current Hershey resident)	Basically nonexistent, you'd need to have a car.	A few snows during the winter, usually around 30-40F for the winter months. The summers aren't too bad, not as humid as some other places.	Not good. Mostly hospital people and med students. Harrisburg is nearby, so maybe some professionals there.	Hershey itself is tolerant, but the neighboring regions are a lot of conservative trump supporter types. Lancaster is 30-40 minutes away, and way more LGBTQ friendly.	Central PA is kind of rough. // You do see some spanish-speaking patients (theres a migrant worker population not too far). The hospital itself is diverse, but the patients are mostly white. You are exposed to a decent number of Amish and similar type communities which is unique	
PENNSYLVANIA	McKeesport	Outskirts of Pittsburgh metro, low COL	Everything else. Not safe, chances of being a victim of a crime are high. Absolutely try not to live in downtown McKeesport if you can. Burbs are safer, but boring and long drives to grocery store etc.	Port Authority is okay, you'll want a car if you're living this far out of the city	cloudy and grey (one of worst areas in country for this), long, cold winters with occasional snow, spring and summer are nice, summer isn't too hot	nonexistent	greater pittsburgh area is very LGBTQ friendly	area is a melting pot, lots of AA	
PENNSYLVANIA	Philadelphia	good bar/ food scene. The city is very walkable so no need for a car. Large city so has all the arts/culture, special events, sports, restaurants, etc but feels less intimidating than a city like NYC. Cost of living is reasonable compared to NY/Boston/DC. Great big 4 sports teams	Dirty, poverty-striken (could be pro if you are very into underserved medicine, otherwise can be depressing and high crime), little in the way of outdoors activities, too expensive for what you get <<whew, a bit harsh IMO, but I love philly. yes you will need to travel a few more mins, but there are def outdoor activities, bike trails << lived in Philly during gap years, there's plenty of outside stuff to do but you'll need a car. IMO COL isn't too bad compared to other east coast cities.    If you're in the wrong part of Philly can get the impression that it's dirty/poverty stricken, but there are nice areas like Center CIty etc. Just gotta look around and do your research, be aware of your surroundings	Yes, but can be dangerous. Septa within Philly (mainly along Broad & Market). Patco connects to Jersey. Amtrak to NYC & beyond. << From my time living in Philly, SEPTA isn't great. Philly is a very driveable city.	terrible typical of east coast < would say late spring/summer/early fall are great but there is a true winter. However, it is relatively mild compared to midwest < summer is humid AF worse than winter from this west coaster's perspective < Snowplowing in the winter can be an issue so be prepped to walk/drive in the snow to get to work on occassion. One other concern is a lot of rain! Summer is a lot of random rain.	good, lots of young educated people given all the universities	great	Philly is a city of neighboorhoods which has its own pros and cons, especially with the history of red-lining here. Would say tho that there are many communities represented because of the many neighboorhoods within philadelphia.	Its Philly << +1
PENNSYLVANIA	Pittsburgh	small city w/ big city amenities (big sports teams, great food scene, music, arts); can get around with bus but car is better. amazing COL<< so where do the residents typically live? << check out Shadyside, Lawreneville, and Squirrel Hill	really gray days and long winter+100<< seriously, no joke, it's one of the least sunny cities in USA<< You better invest in a sun lamp here because the sun rarely comes out, especially in the winter.	Great bus system especially for getting to and from hospitals, but car is better for more adventures	really gray all the time...wind chill horrible in winter but never snows /that/ much. really lovely spring-fall but winter is really long	not great, lots of people who were born and raised here, feels like people settle down earlier than other cities	Shadyside is LGBTQ friendly, some gay bars, lots of signs of support on houses (rainbow flags, welcome mats, yard signs etc.)		
RHODE ISLAND	Providence	Has multiple universities and culinary institutions so big foodie and art scene. Public transportation is pretty good. Easy access to Boston / NYC. Lots of direct lines to the main hospital.   lived there for 5 yrs and liked it a lot. small city but has decent cultural footprint due to Brown +other universities in the area including RISD (fancy art school). good food/drink scene for such a small city because of Johnson and Wales (fancy culinary school), also long-standing italian community on federal hill, and other more recent immigrant groups. very walkable and bike-friendly although having a car is handy. public transportation somewhat minimal within providence (bus, dont have much experience with it tbh). easy ~50 minute ride on the commuter rail to boston for $10. COL is good for the northeast, there are a range of options between downtown, college hill/mount hope, federal hill etc. weather is like boston. newport/the beach is pretty close by. new england is small as a whole so relatively easy access to western Mass/maine/vermont/NH if you want to go hiking/skiing. dating is def going to be more challenging than in a major city although like i said boston is close, there are grad students, etc. more diverse than you might expect but not compared to like philly or NYC and more segregated in the way that new england tends to be. very LGBTQ+ friendly.	Traffic, compared to NYC or Boston, is pretty reasonable. Not just traffic, people here drive like its fucking podracing from Star Wars. Reckless af. Easy access to other places in New England.	- bus (iffy), very walkable/bike friendly	- typical new england 4 seasons, humid summer, shorter pleasant spring/fall, colder/dark winter w snow	Opportunities to date other Brown students, not much else.	- very liberal but bad dating across the board		
SOUTH CAROLINA	Charleston	Quaint, touristy, super southern town thats expensive but gorgeous with a bunch of beach activities at your fingertips. Cool market and lots of restaurants  -Amazing food	Def high COL for the salary they give you and the size of the city. IMO living in a touristy place is both a pro and a con (lots of bachelorette parties dt every weekend). Diversity is lacking, very white or black with little other representation and kind of segregated	Not great, definitely a city where you would want to have a car or live downtown somewhere walkable to the hospital	gorgeous all year round. hot and sunny but always a beach breeze	Can't speak from experience, but one of the residents said it was good		low divesity!! Faculty and residents diverse but outsidee of the hospital very white.	
SOUTH CAROLINA	Charleston								
SOUTH CAROLINA	Columbia	up and coming town. the main street is slowly being redone to be more like greenville; there is large developing riverwalk as well. tons of breweries and restaurants. historic city with multiple districts- main street, the vista (historic arsty place by downtown with lots of restuarants), five points for the college scene, Devine street for food and shopping. super cheap CoL; you could definitely but a house here in either the main downtown area or out in the suburbs on the lake. you can be at the beach or the mountains in under 2 hours. very easy to take nice day trips to relax	still run down in areas not mentioned in the pros tab, not much good shopping ( the closest mall is 15-20 from city center), south carolina has the worst roads and drivers I've ever seen in my life	traffic is nonexistent but you'll need a car. public buses but theyre....not good. airport is always empty and super convenient to use. it takes like 10 minutes to get through security and to your gate lol. super nice to fly to charlotte or atlanta to fly out of there for your real destination but not deal with the atlanta or charlotte security wait times	small beach breeze year round. hot summers and mild fall/winters. you can basically wear shorts yearround with the exception of maybe 4 weeks -- untrue, Columbia has actual seasons, it is usually cold (freezing) during december - february (coming from someone who ghas lived here forever)		residency and hospital program are very accepting but unknown about the dating scene in general population.	large african american, hispanic, and indian presences. USC in the middle of downtown brings some diversity with it as well but i would say the main population is WASP. Politically, the city skews conservatively but you can find extremes of both sides	
SOUTH CAROLINA	Greenville	Great, modern downtown with tons of restaurants, bars, things to do. Check out falls park, swamp rabbit trail as well. Close to Atlanta, Charlotte, mountains, beach.	Traffic is not great but not bad compared to any big city. Our drivers houwever are tragic.	A trolley. Cute, but laughable.	Four seasons, sometimes all in one day.	Yikes if you're not white, straight, and christian. but if you are, not bad.	better than anywhere else in SC. that said, its SC.	Not bad for SC. Again, its SC. Generally racism here is subtle.	
TENNESSEE	Memphis	lots to do in memphis. good BBQ and food. cute unique places to eat and coffee shops. street full of live music. lots of bars. great culture. diverse town. everyone is really kind. Grizzlies games are fun and cheap.	crazy drivers, terrible crime. over 13000 car jackings a year, >1500 shootings a year-- several high profile cases including St. Jude post doc murdered. Very little policing due to Tyre Nichols case. no reliable public transit. hot and humid climate, rains a lot and has poor utilities infrastructure so power is often out. dating is atrocious. not much to do in the city.	It exists but is unsafe and extremely unreliable	hot humid summers, cold humid winters, snow shuts down the entire city and they have a really tough time clearing it off the roads if a snowstorm hits - during the last snowstorm in 2021 some residents had to stay in the hospital for over a week because they couldn't get home	idk I've been too busy trying to survive memphis, most residents come in with a significnat other or stay single		majority African American with the remainder mostly white	Just FYI memphis is the #1 big city for violent crime and routinely top 3 for non-violent crime. Stay strapped if you come here, seriously. Residents have had cars stolen INSIDE hospital parking lots while parking attendants just watched, if you leave literally anything in your car, even loose change or a jacket, it will be broken into. If you drive a truck or large SUV it will be broken into at some point by someone looking for guns. Most residents live in either gated apartments or a house. DO NOT DRIVE A KIA/HYUNDAI HERE, if you really must please, please get a steering wheel lock. The police have been handing them out for free because your car WILL get broken into if parked publicly if it is korean, thanks kiaboys. Also, there is a no chase policy currently in place (if someone drives off during a traffic stop police are not allowed to pursue unless they are an active threat) and non-violent criminals are guaranteed to get out on low bail thanks to the current elected judges who are very soft on non-violent crime. I have lived in multiple large cities and this is the only one where you have to take extreme precautions to not be a victim of crime. Also, ~10-15% of the cars on the highways will have drive-out tags (paper tags) that are expired or fake. They no longer pull people over for these, and most of those cars are either stolen or stolen and sold to an unsuspecting buyer. In fact there are no vehicle inspection so you'll routinely see people driving stolen altimas going 100 on I-240 with the bumper dragging on the ground with police staring. I've seen multpile people drive through red lights (not turning yellow to red, floridly red for 10+ seconds) with cops just staring, they literally don't care. In fact, unless you are actively being shot to death in a decent neighborhood don't expect a rapid police response, if any. Someone got shot 5 times near me recently and it took 20 minutes for any cops to show up, I live 8 minutes from the police station like wtf.There's a reason why UT had to invest so much money into their own campus police force. Also don't honk or flash your brights at anyone when driving on I-240 unless you like lead poisoning. Also TICU (trauma ICU) is super depressing because of all the gunshot victims.
TENNESSEE	Nashville	Emerging liberal city, lots of new restaurants/bars. Lots of live music options even if you don't like country music (occasional Taylor Swift spottings). Plenty of young people moving here (including hipsters). Great city/state parks with hiking/biking trails within a short drive. super dog friendly city. COL is manageable and rent isn't bad if you live a little further away from downtown. Most people are very friendly. Safety is good around med campus.	Rent is getting expensive around downtown. Lots of bachelorette partiers and drunk people on weekend nights. Traffic around rush hours around med centers/people here drive terribly. Definitely feels like a small city if you come from large coastal places. <IMO rent is too high everywhere. Becoming more diverse but still not diverse enough IMO. Patient population is, at least for Vandy, from a much larger catchment area and is not diverse.	Not great. Buses are free for commuting for Vandy med staff/students but most people drive.	Summer is hot and humid. Spring/fall are great temperature wise but people here get terrible allergies. Winter has a couple days of 20-30sF. Parts of this city floods easily -- I'd check a flood map before buying a house. Occasional tornado warnings (with purge siren). People are scared of snow.	Lots of young/professional types moving in these days, so overall pretty good.	In Nashville, there's a reasonably sized LGBT community (for the size of the city) and most people are welcoming. If you go way out into the country...well it's the South	Not bad. Certainly not east coast big city level, but you'll see people of all races unless you exclusively hang out at honky tonks --> Not great if you're an African American trainee. Black professional crowd clustered around places like Fisk, Tn St, and Meharry. Not much racial patient diversity per residents +1	
TEXAS	Austin	Live music capital of the world. Some of the best music venues are within walking distance of the hospital. Great food scene, including some of best BBQ in the world in the city or within a 2 hour drive. Tons of great, expansive greenspaces throughout town, and some great hikes just outside of town. UT football, F1, ACL, SXSW. Rainey Street is one of the best bar districts around. Dozens of awesome craft breweries around town. Pretty great dating scene since UT Austin alone has a population of 50k. Pretty liberal/hipster. Great LGBTQ scene. Lot's of activism if that's your jam.	traffic is the absolute worst, even if you live near medical center. (constant construction, poorly designed layout) Pretty high rents anywhere near central or downtown Austin. Not a very diverse city, gentrification actively making it less-so. < its getting expensive, but does not have the amenities of much larger, cheaper cities, gentrification is really bad here, the minority population in Austin is disappearing, traffic is really bad as the city is growing way faster than infrastructure can keep up. Homelessness is a pretty significant issue here	Guess you haven't driven in Houston>>Austin public transport practically non-existent < worse than non-existent, the few metro stations are in the middle of nowhere and a complete waste of taxpayer money	Hot 9 months a year. None of the natural disaster-type weather the rest of Texas gets.	great if you are under 35-40 yo < not gonna lie, its pretty nice	great	Less than other major Texas cities and dwindling with the massive-scale gentrification of East Austin and Riverside areas. < Very white, and South Asians moving in due to tech jobs; black population rapidly decreased at alarming rate over the past decade	
TEXAS	Dallas	Lots of food options for all kinds of dietary preferences. Affordable living. Cheap major airport.	Not much nature aside from lakes; traffic is horrible, starting to get expensive < you may lose power if it snows due to "required blackouts", - Instead of writing about your own bias maybe write helpful information?+2	The DART is okay, not spectacular. Really easy to go to Mavs games though	Mostly hot, can get as low as 19 degrees in the winter, doesn't snow really. Once in a while there may be snow flurries. Hail. < its frustatingly hot, and most of the city is concrete with very little shade. 55 days >100 degrees in 2023	excellente. But also ranks #1 in the country for extramarital affairs	very tolerant, very large gay community for a Southern/SW city	great bc its just a huge city! < would disagree, mostly white, more diverse in surrounding suburbs like Plano and Carrolton which can be 20-30 min drive	
TEXAS	El Paso	Dry heat, cheap rent, nice people, lots of mexican restaurants, big city that feels small, great hiking places, beautiful women. Beautiful sunrises/sunsets. Fun things to do. Close to NM, Riodoso. Mountains are gorgeous.	Good Mexican and Asian food (pho, noodles). Patients mostly Spanish speaking but often bilingual to a good extent. Not too many things to do on your day off, the least diverse city in the US. Black people are treated poorly here. Lots of microaggressions. (again not my experience with the last two sentences). >>>Asian food sucks here and the city is quite isolated, everything is 4 or more hours drive away.	need a car!!	hot summers, very mild winters. Not for anyone who loves rain. Snow shuts everything down.	Mostly army base to date men if ur into that	tolerant	Diverse ethnically (Latin America, etc.) but race 80% Hispanic. LGBTQ+. Not a friendly place for black people in the city (lots of microaggressions) (has not been my experience)	Everywhere basically feels safe, large army base that's often out in the community.
TEXAS	Fort Worth	Big city amenities with small city feel; college town elements with TCU, football games are awesome; decent night-life but can get repetitive; COL is pretty good; DFW metroplex has everything you need if you're willing to drive; Trinity river and trails are nice; great museums; commute to the hospitals very manageable since they're all located in the medical district	still a conservative city, so can be pretty racist especially once you get outside of the city limits (but that's very slowly changing, maybe?); food scene is pretty meh once you find the few hotspots; heard the dating scene is hit or miss.	ok; tram that runs to Dallas is good; bike stations around the city for rent. <<Also new train to DFW airport takes about 40 minutes for like $2.5 a trip.	Hot (+1000); hail is always a threat << it doesnt hail this often too factor into ranking programs IMO.	OK, it's a college town and there's two med schools and lots of professionals, but I've still heard that it can be pretty hard to find people (+1 the pickings are slim). TCU local, easy dating if you're good looking. < Good if you're white, otherwise head to Dallas	Tolerant. Small, but have seen same-sex couples walk around Magnolia area and W7th.	Meh, but the DFW metroplex as a whole is pretty diverse, large refugee pop in FW	
TEXAS	Galveston	Galveston is a beach town on an island! It has a small/medium-sized town feel, Houston is close enough to drive to if you want a night out, and the beach is walking distance from the hospital. Residents live either on the island or over on the mainland in Texas City or League City (the mainland tends to be more popular for residents with families; I've heard the public schools there are a little better). Rent is cheaper than what you'd expect for a resort town. Also the seafood is awesome. < Agreed! Weekend cruises are super cheap.	Quite a bit of tourism traffic on weekends in the summer, though it seems to quiet down once you hit September. Beaches are gross and known for high levels of bacteria/silt after rain. Lived in galveston for 4 years, the food in the place SUCKS. Like it is horrible, and seafood gets old after a couple months. With the exception of some Taco trucks, you better know how to cook or be prepared to drive to Houston.	There's a bus system (kind of limited and I don't think it runs on Sundays but it's there) and a trolley. There's also a free car ferry if you want to go to Bolivar Peninsula (or if you just want to see the dolphins)	Sunny, hot and humid summers with mild winters. Note that hurricanes happen occasionally (didn't get any this year though!).	Not bad, especially if you're willing to drive to the mainland to date. It's not a big town but it's in a pretty populous region of Texas.	Supportive	Home of Juneteenth!	
TEXAS	Houston	Huge medical center, huge city. Lots of running trails along bayou, around Rice U.. The nightlife scene is fun and varied with a downtown as well as more laid back areas. Food scene is amazing! Huge international airport. Lots of different events always going on by virtue of the fact that it's one of the largest and most diverse US cities	So, so humid. A lot of people say traffic, but IMO it's not that bad if you're living pretty close to the medical center. It's when you have to commute in from Katy or one of the other surrounding areas that traffic probs starts to hurt. Have to drive to get to most places though unlike NE cities. Also not a ton of good hiking in surrounding area since Houston is really flat.	metrorail runs through med center. Lots of apartments on the rail line. Can be very sketchy when it's dark, but early morning there are usually metrorail workers patrolling	Humid, hot, FLOOD AND HURRICANE risks, gets actually nice around October but then heats up again around late March/April. Mild winters	Not NY or LA but it's one of the largest cities in the country so plenty of young professionals and fairly diverse. Oil industry is big - lots of engineers. Med center is also huge so if you're trying to date in medicine there's the UT Houston folks to avoid co-mingling in the program	Very tolerant. Houston was one of the first cities in the US to elect an openly gay mayor. Montrose is the "Gayborhood" with great nightlife and would argue it's one of the largest/most friendly LGBTQ scenes I've ever lived around.	The most diverse city in the nation for 10+ years in a row. Large Vietnamese and Hispanic populations. Nigerian community as well. Indian diaspora is strong, esp. in suburbs. Makes for amazing clinical experiences and SUPERB food scene. YOU CAN FIND ANY AND EVERY CUISINE IN THE WORLD HERE FOR CHEAP! After living in Houston, you'll be craving diversity whenever you go to other cities.	Traffic / urban sprawl is biggest con. Best tex/mex in texas. Great asian food, bbq, seafood. Honestly this is thebest food town ive ever been to… you can get fat here. Nightlife is great for whatever scene you are looking for and much more affordable than other large cities. Very diverse
TEXAS	Lubbock	Very cheap  No traffic  Decent public transport / bike paths etc  Football and basketball  Often sunny, rarely humid  Solid bar scene (kind of standard college town)  Nice campus  Great athletic facility / gym and outdoor pool with lazy river  Great public golf course you have access to (ranked high nationally)  Great BBQ  Great city to explore the outdoors from (I drove all over West Texas, New Mexico, and Colorado on weekend trips to explore Canyons, Caves, Big Bend National Park, Deserts is New Mexico, Colorado mountains, and so on)	A bit far from main Texas  Not the cheapest airport to fly out of  After a few years you’ll have explored most of the good restaurants  If it snows the city shuts down. Doesn’t snow a lot though  Not a lot of good ethnic food in town		Lubbock probably has the best weather in the state. It gets just as hot as the bigger cities, but without the humidity. A handful of very windy days per year would be the worst of it.				
TEXAS	Midland-Odessa	Anyone has any input besides being in the middle of nowehere? <<< not really any positives to speak of. I will say one positive is that people are extremely nice! Very friendly, community-oriented Southern culture.	There's nothing here. It's an oil boom town so it is very cheap until a boom hits and then prices get out of control< What about the dating scene? << lots of tumbleweeds and mesquite bushes available for dating but that's about it.	Whats that? You need a car to go anywhere	Take a guess. Extremely dry, typically in the 100s in the summer. Random hail. Roads flash flood because rain is not common. Occasional snow in winter.	Nope.	Who? << lol	Significant hispanic and asian populations, but largely white, conservative. Attending physicians are fairly diverse!	yes, depends on boom/bust cycle
TEXAS	Rio Grande Valley	Lowest COL in the country, really kind people, DO NOT NEED to speak Spanish despite rumors. Easy commute to most hospitals and clinic sites. Beautiful women. Amazing authentic Mexican food. Medium sized city. Very close to amazing beach	Social scenes can be very clicky due to most people being born and raised in the valley. Heat during the summer can be outrageous with temperatures sometimes reaching or feeling like it's in the triple digits. Heavy rain caused pretty bad flooding in certain areas. Lots of disposition issues with patients in the region. No one from any other part of Texas wants to live here which says a lot.	None.	Very very hot	Lots of beautiful women everywhere. Mainly Latinx.		Mostly latino/hispanic	
TEXAS	San Antonio	Best Mexican food you'll ever have. Big city but a small town feel. Good road system. Very affordable. Great city for families. Go Spurs Go. +2	The city, much like the spurs, does not have too much going for it.>>> I love this comment...so true	Minimal				Mainly hispanic, but still a large metro area with diversity	
TEXAS	Temple	Satellite of Austin, cheap rent or mortgage. One of the more affordable places in central Texas to live. Also you are 1 hour from Austin and 2 hours from Dallas so it is easy to go to bigger cities for more fun things to do. Somewhat of a college town too as there is a smaller university out there. Also some of the best Texas BBQ you can have out here.	small town, not much to do.	nah bruh, may become the center of proposed high speed rail for Texas (praying)	Hot	Austin dating scene is great. Temple dating scene is not so great.	Smaller city, but tolerant and open	overall representative of Texas, relatively diverse, but still majority white	
